code,name_jp,sname_jp,name_en,sname_en
1,北海道,北海道,Hokkaido Prefecture,Hokkaido
2,青森県,青森,Aomori Prefecture,Aomori
3,岩手県,岩手,Iwate Prefecture,Iwate
4,宮城県,宮城,Miyagi Prefecture,Miyagi
5,秋田県,秋田,Akita Prefecture,Akita
6,山形県,山形,Yamagata Prefecture,Yamagata
7,福島県,福島,Fukushima Prefecture,Fukushima
8,茨城県,茨城,Ibaraki Prefecture,Ibaraki
9,栃木県,栃木,Tochigi Prefecture,Tochigi
10,群馬県,群馬,Gunma Prefecture,Gunma
11,埼玉県,埼玉,Saitama Prefecture,Saitama
12,千葉県,千葉,Chiba Prefecture,Chiba
13,東京都,東京,Tokyo Metropolis,Tokyo
14,神奈川県,神奈川,Kanagawa Prefecture,Kanagawa
15,新潟県,新潟,Niigata Prefecture,Niigata
16,富山県,富山,Toyama Prefecture,Toyama
17,石川県,石川,Ishikawa Prefecture,Ishikawa
18,福井県,福井,Fukui Prefecture,Fukui
19,山梨県,山梨,Yamanashi Prefecture,Yamanashi
20,長野県,長野,Nagano Prefecture,Nagano
21,岐阜県,岐阜,Gifu Prefecture,Gifu
22,静岡県,静岡,Shizuoka Prefecture,Shizuoka
23,愛知県,愛知,Aichi Prefecture,Aichi
24,三重県,三重,Mie Prefecture,Mie
25,滋賀県,滋賀,Shiga Prefecture,Shiga
26,京都府,京都,Kyoto Prefecture,Kyoto
27,大阪府,大阪,Osaka Prefecture,Osaka
28,兵庫県,兵庫,Hyogo Prefecture,Hyogo
29,奈良県,奈良,Nara Prefecture,Nara
30,和歌山県,和歌山,Wakayama Prefecture,Wakayama
31,鳥取県,鳥取,Tottori Prefecture,Tottori
32,島根県,島根,Shimane Prefecture,Shimane
33,岡山県,岡山,Okayama Prefecture,Okayama
34,広島県,広島,Hiroshima Prefecture,Hiroshima
35,山口県,山口,Yamaguchi Prefecture,Yamaguchi
36,徳島県,徳島,Tokushima Prefecture,Tokushima
37,香川県,香川,Kagawa Prefecture,Kagawa
38,愛媛県,愛媛,Ehime Prefecture,Ehime
39,高知県,高知,Kochi Prefecture,Kochi
40,福岡県,福岡,Fukuoka Prefecture,Fukuoka
41,佐賀県,佐賀,Saga Prefecture,Saga
42,長崎県,長崎,Nagasaki Prefecture,Nagasaki
43,熊本県,熊本,Kumamoto Prefecture,Kumamoto
44,大分県,大分,Oita Prefecture,Oita
45,宮崎県,宮崎,Miyazaki Prefecture,Miyazaki
46,鹿児島県,鹿児島,Kagoshima Prefecture,Kagoshima
47,沖縄県,沖縄,Okinawa Prefecture,Okinawa
